元商品名,KEGG_薬名,KEGG_ﾘﾝｸ,KEGG_URL,会社名,薬効,リスク区分(2026/7/2_KEGG)
☆ﾛｷｿﾌﾟﾛﾌｪﾝ錠「LS」 12錠,ロキソプロフェン錠「LS」,ロキソプロフェン錠「LS」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1801000099,セントラル製薬（株）,解熱鎮痛薬,1
☆ﾛｷｿﾌﾟﾛﾌｪﾝ錠「ｸﾆﾋﾛ」 12錠,ロキソプロフェン錠「クニヒロ」,ロキソプロフェン錠「クニヒロ」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1501000101,皇漢堂製薬（株）,解熱鎮痛薬,1
☆ｱﾚｸﾞﾗFX 14錠,アレグラFX,アレグラFX,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1201000287,久光製薬（株）,鼻炎用内服薬,2
☆ｴﾙﾍﾟｲﾝｺｰﾜ 12錠,エルペインコーワ,エルペインコーワ,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J1101000318,興和（株）,解熱鎮痛薬,2*
☆葛根湯ｴｷｽ錠S「ｺﾀﾛｰ」,葛根湯エキス錠S「コタロー」,葛根湯エキス錠S「コタロー」,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0901000387,小太郎漢方製薬（株）,葛根湯,2
☆ｶｲﾍﾞｰﾙ 48錠,カイベールC,カイベールC,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601003142,（株）アラクス,瀉下薬（下剤）,2*
☆ｶﾛﾅｰﾙA,カロナールA,カロナールA,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2301000211,第一三共ヘルスケア（株）,解熱鎮痛薬,2
☆ｶﾞｽﾀｰ10 錠 6錠,ガスター10,ガスター10,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=K1103000023,第一三共ヘルスケア（株）,ヒスタミンH2受容体拮抗剤含有薬,1
☆ｶﾞｽﾀｰ10 S錠 6錠,ガスター10 S錠,ガスター10 S錠,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=K1103000036,第一三共ヘルスケア（株）,ヒスタミンH2受容体拮抗剤含有薬,1
☆ｸﾗﾘﾁﾝEX 14錠,クラリチンEX,クラリチンEX,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=K1701000007,大正製薬（株）,鼻炎用内服薬,2
☆ｻｸﾛﾝQ,サクロンQ,サクロンQ,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601002596,エーザイ（株）,胃腸鎮痛鎮けい薬,2
☆新ｳﾘｴｰｽBT,新ウリエースBT,新ウリエースBT,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601011671,テルモ（株）,一般用検査薬（尿糖・尿タンパク用）,2
☆新ｺﾝﾀｯｸ鼻炎Z,新コンタック鼻炎Z,新コンタック鼻炎Z,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2001000184,Haleonジャパン（株）,鼻炎用内服薬,2
☆セルベール,セルベール,セルベール,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0601002065,エーザイ（株）,健胃薬,2
☆ｾﾙﾍﾞｰﾙ整胃錠 12錠,セルベール整胃錠,セルベール整胃錠,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J0607000627,エーザイ（株）,健胃薬,2
☆新ｾﾙﾍﾞｰﾙ整胃ﾌﾟﾚﾐｱﾑ錠,新セルベール整胃プレミアム〈錠〉,新セルベール整胃プレミアム〈錠〉,https://www.kegg.jp/medicus-bin/japic_otc?japic_code=J2001000035,エーザイ（株）,健胃薬,2
